timestamp,cpu_percent,memory_usage_mb,memory_percent,response_time_ms,status
2025-05-10 14:31:08,0.00,22.88,8.94,15,healthy
2025-05-10 14:31:14,5.79,23.4,9.14,16,healthy
2025-05-10 14:31:20,41.32,145.3,56.76,264,healthy
2025-05-10 14:31:25,0.01,33.53,13.10,15,healthy
2025-05-10 14:31:31,1.66,33.6,13.12,15,healthy
2025-05-10 14:31:36,0.00,11,100.00,37,healthy
2025-05-10 14:31:42,5.60,23.39,9.14,15,healthy
2025-05-10 14:31:49,50.80,255.7,99.88,1072,healthy
2025-05-10 14:31:56,0.01,23.32,9.11,14,healthy
2025-05-10 14:32:02,0.01,23.4,9.14,16,healthy
2025-05-10 14:32:08,0.00,23.23,9.07,15,healthy
2025-05-10 14:32:14,2.17,23.39,9.14,15,healthy
2025-05-10 14:32:21,0.00,1.891,0.74,16,healthy
2025-05-10 14:33:18,0.00,2.004,0.78,18,healthy
2025-05-10 14:33:24,5.10,23.39,9.14,16,healthy
2025-05-10 14:33:30,50.92,195.5,76.37,380,unhealthy
2025-05-10 14:33:36,3.03,73.57,28.74,25,healthy
2025-05-10 14:33:42,37.70,23.38,9.13,81,healthy
2025-05-10 14:33:48,0.01,23.52,9.19,15,healthy
2025-05-10 14:33:54,0.00,23.23,9.07,15,healthy
2025-05-10 14:34:00,5.14,33.41,13.05,16,healthy
2025-05-10 14:34:06,0.01,33.46,13.07,15,healthy
2025-05-10 14:34:11,0.01,23.32,9.11,15,healthy
2025-05-10 14:34:17,0.01,23.4,9.14,15,healthy
2025-05-10 14:34:24,0.78,33.4,13.05,16,healthy
2025-05-10 14:34:30,0.01,38.51,15.04,15,healthy
2025-05-10 14:34:36,50.51,166.3,64.96,47,healthy
2025-05-10 14:34:42,50.93,235.8,92.11,44,unhealthy
2025-05-10 14:34:48,0.01,23.31,9.11,15,healthy
2025-05-10 14:34:54,48.48,126.7,49.49,183,healthy
2025-05-10 14:35:00,0.01,23.32,9.11,15,healthy
2025-05-10 14:35:06,14.82,74.44,29.08,113,healthy
2025-05-10 14:35:12,0.01,23.31,9.11,15,healthy
2025-05-10 14:35:18,0.01,23.39,9.14,14,healthy
2025-05-10 14:35:24,0.01,23.32,9.11,15,healthy
2025-05-10 14:35:30,0.01,23.41,9.14,15,healthy
2025-05-10 14:35:36,7.71,23.22,9.07,15,healthy
2025-05-10 14:35:42,0.01,23.41,9.14,15,healthy
2025-05-10 14:35:48,0.01,23.22,9.07,19,healthy
2025-05-10 14:35:54,0.01,23.41,9.14,15,healthy
2025-05-10 14:35:59,0.00,11,100.00,10,unhealthy
2025-05-10 14:36:04,5.15,23.38,9.13,15,healthy
2025-05-10 14:36:10,50.89,206.2,80.55,192,unhealthy
2025-05-10 14:36:17,43.19,,,1074,healthy
2025-05-10 14:36:22,5.64,23.39,9.14,15,healthy
2025-05-10 14:36:28,0.00,2,0.78,17,healthy
2025-05-10 14:36:34,5.08,23.4,9.14,15,healthy
2025-05-10 14:36:39,10.72,39.88,15.58,17,healthy
2025-05-10 14:36:45,0.01,23.32,9.11,17,healthy
2025-05-10 14:45:44,0.02,23.52,9.19,14,healthy
2025-05-10 14:45:49,0.02,23.54,9.20,13,healthy
2025-05-10 14:45:57,0.02,23.32,9.11,14,healthy
2025-05-10 14:46:03,0.02,23.5,9.18,15,healthy
2025-05-10 14:46:09,4.99,23.57,9.21,10,healthy
2025-05-10 14:46:15,0.01,33.79,13.20,13,healthy
2025-05-10 14:46:21,0.01,33.82,13.21,39,healthy
2025-05-10 14:48:06,0.07,255.1,99.65,27,healthy
2025-05-10 14:48:12,2.17,255.7,99.88,17,healthy
2025-05-10 14:48:17,0.00,11,100.00,93,healthy
2025-05-10 14:48:23,4.70,23.73,9.27,11,healthy
2025-05-10 14:48:29,50.69,255.9,99.96,7,unhealthy
2025-05-10 14:48:35,0.42,23.93,9.35,18,healthy
2025-05-10 14:48:41,50.40,234.2,91.48,124,healthy
2025-05-10 14:48:47,0.04,23.4,9.14,17,healthy
2025-05-10 14:48:53,0.01,25.42,9.93,32,healthy
2025-05-10 14:48:58,0.00,11,100.00,39,healthy
2025-05-10 14:49:04,4.38,23.5,9.18,15,healthy
2025-05-10 14:49:10,49.80,255.9,99.96,222,healthy
2025-05-10 14:49:16,0.03,23.4,9.14,13,healthy
2025-05-10 14:49:22,48.25,222.4,86.88,58,healthy
2025-05-10 14:49:28,0.02,23.4,9.14,16,healthy
2025-05-10 14:49:34,22.13,106.5,41.60,120,healthy
2025-05-10 14:49:40,0.02,23.41,9.14,15,healthy
2025-05-10 14:49:46,0.02,23.49,9.18,12,healthy
2025-05-10 14:49:55,0.00,11,100.00,16,unhealthy
2025-05-10 14:50:03,0.02,23.45,9.16,31,healthy
2025-05-10 14:50:09,50.68,250.6,97.89,102,healthy
2025-05-10 14:50:15,0.02,23.39,9.14,12,healthy
2025-05-10 14:50:20,0.03,23.48,9.17,27,healthy
2025-05-10 14:50:29,0.00,11,100.00,18,unhealthy
2025-05-10 14:50:35,0.02,23.39,9.14,9,healthy
2025-05-10 14:50:41,50.24,255.5,99.80,515,healthy
2025-05-10 14:50:47,0.04,23.41,9.14,18,healthy
2025-05-10 14:50:52,0.02,23.49,9.18,15,healthy
2025-05-10 14:50:58,50.42,255.9,99.96,349,healthy
2025-05-10 14:51:05,0.03,23.4,9.14,13,healthy
2025-05-10 14:51:11,3.73,34.05,13.30,244,healthy
2025-05-10 14:51:17,0.00,2.918,1.14,11,healthy
2025-05-10 14:51:23,5.18,33.79,13.20,15,healthy
2025-05-10 14:51:28,4.30,33.58,13.12,16,healthy
2025-05-10 14:51:35,13.02,23.51,9.18,20,healthy
2025-05-10 14:51:40,0.02,23.48,9.17,13,healthy
2025-05-10 14:51:46,50.34,255.9,99.96,12,unhealthy
2025-05-10 14:51:52,0.03,23.4,9.14,21,healthy
2025-05-10 14:51:57,30.87,140.1,54.73,117,healthy
2025-05-10 14:52:04,0.00,3.129,1.22,12,unhealthy
2025-05-10 14:52:10,4.79,23.46,9.16,15,healthy
2025-05-10 14:52:16,50.45,249.8,97.58,159,healthy
2025-05-10 14:52:21,0.04,23.4,9.14,14,healthy
2025-05-10 14:52:27,0.02,23.48,9.17,14,healthy
2025-05-10 14:52:33,0.00,3.152,1.23,14,healthy
2025-05-10 14:52:38,5.02,23.5,9.18,15,healthy
2025-05-10 14:52:45,50.01,255.1,99.65,303,healthy
2025-05-10 14:52:51,0.02,23.39,9.14,10,healthy
2025-05-10 14:52:56,0.02,23.48,9.17,13,healthy
2025-05-10 14:53:03,0.02,23.4,9.14,16,healthy
2025-05-10 14:53:09,0.02,23.49,9.18,12,healthy
2025-05-10 14:53:15,50.20,255.8,99.92,126,healthy
2025-05-10 14:53:21,0.02,23.41,9.14,13,healthy
2025-05-10 14:53:26,2.34,35.78,13.98,13,healthy
2025-05-10 14:53:32,0.04,23.3,9.10,15,healthy
2025-05-10 14:53:38,0.02,23.5,9.18,11,healthy
2025-05-10 14:53:44,0.00,7.898,3.09,78,unhealthy
2025-05-10 14:53:50,0.02,23.4,9.14,10,healthy
2025-05-10 14:53:57,50.81,195.6,76.41,393,healthy
2025-05-10 14:54:03,0.02,23.3,9.10,15,healthy
2025-05-10 14:54:09,0.02,23.49,9.18,14,healthy
2025-05-10 14:54:15,50.64,255.9,99.96,258,healthy
2025-05-10 14:54:21,0.02,23.41,9.14,38,healthy
2025-05-10 14:54:27,17.02,94.32,36.84,356,healthy
2025-05-10 14:54:34,0.00,11,100.00,7,unhealthy
2025-05-10 14:54:39,0.02,23.4,9.14,11,healthy
2025-05-10 14:54:45,13.99,44.15,17.25,65,healthy
2025-05-10 14:54:51,0.02,23.3,9.10,15,healthy
2025-05-10 14:54:57,0.02,23.48,9.17,13,healthy
2025-05-10 14:55:04,50.83,255.9,99.96,357,healthy
2025-05-10 14:55:09,0.05,23.4,9.14,19,healthy
2025-05-10 14:55:15,6.32,34.78,13.59,184,healthy
2025-05-10 14:55:21,0.03,23.41,9.14,18,healthy
2025-05-10 14:55:27,0.03,23.49,9.18,14,healthy
2025-05-10 14:55:31,0.00,11,100.00,11,healthy
2025-05-10 14:55:37,4.94,23.48,9.17,13,healthy
2025-05-10 14:55:42,50.32,240.7,94.02,280,healthy
2025-05-10 14:55:48,0.03,23.42,9.15,15,healthy
2025-05-10 14:55:54,2.79,38.88,15.19,35,healthy
2025-05-10 14:56:02,12.22,23.41,9.14,278,healthy
2025-05-10 14:56:10,50.39,206.7,80.74,553,healthy
2025-05-10 14:56:16,0.04,23.4,9.14,15,healthy
2025-05-10 14:56:22,1.02,23.49,9.18,14,healthy
2025-05-10 14:56:28,37.49,23.46,9.16,36,healthy
2025-05-10 14:56:34,0.06,23.49,9.18,24,healthy
2025-05-10 14:56:40,50.42,255.4,99.77,437,healthy
2025-05-10 14:56:48,57.41,21.13,8.25,29,healthy
2025-05-10 14:56:57,63.26,44.61,17.43,260,healthy
2025-05-10 14:57:04,51.22,255.9,99.96,876,healthy
2025-05-10 14:57:10,8.14,23.3,9.10,18,healthy
2025-05-10 14:57:16,0.02,23.48,9.17,13,healthy
2025-05-10 14:57:23,51.27,255.8,99.92,298,healthy
2025-05-10 14:57:29,0.03,23.3,9.10,18,healthy
2025-05-10 14:57:35,0.02,23.49,9.18,46,healthy
2025-05-10 14:57:42,51.30,255.8,99.92,466,healthy
2025-05-10 14:57:48,50.37,230,89.84,281,healthy
2025-05-10 14:57:55,0.27,255.9,99.96,14,healthy
2025-05-10 14:58:01,3.77,255.9,99.96,12,healthy
2025-05-10 14:58:05,6.28,23.31,9.11,12,healthy
2025-05-10 14:58:10,0.03,23.49,9.18,19,healthy
2025-05-10 14:58:16,73.91,255.1,99.65,192,unhealthy
2025-05-10 14:58:22,0.02,23.41,9.14,43,healthy
2025-05-10 14:58:28,26.74,140.1,54.73,85,healthy
2025-05-10 14:58:34,0.50,23.41,9.14,17,healthy
2025-05-10 15:22:10,0.04,23.49,9.18,12,healthy
2025-05-10 15:22:16,0.01,23.55,9.20,14,healthy
2025-05-10 15:22:22,0.02,23.48,9.17,18,healthy
2025-05-10 15:22:29,49.25,250.5,97.85,558,unhealthy
2025-05-10 15:22:34,0.02,23.4,9.14,14,healthy
2025-05-10 15:24:04,18.05,74.71,29.18,72,healthy
2025-05-10 15:24:09,0.69,23.48,9.17,17,healthy
2025-05-10 15:24:15,0.02,23.54,9.20,18,healthy
2025-05-10 15:24:21,35.52,247.8,96.80,142,healthy
2025-05-10 15:24:27,0.03,23.4,9.14,20,healthy
2025-05-10 15:24:32,11.77,84.25,32.91,18,healthy
2025-05-10 16:17:43,0.02,23.4,9.14,20,healthy
2025-05-10 16:17:49,0.04,23.49,9.18,14,healthy
2025-05-10 16:17:55,0.00,11,100.00,13,healthy
2025-05-10 16:18:00,4.71,23.53,9.19,17,healthy
2025-05-10 16:18:06,5.69,23.81,9.30,18,healthy
2025-05-10 16:54:35,21.14,247.9,96.84,65,unhealthy
2025-05-10 16:54:41,0.02,23.4,9.14,9,healthy
2025-05-10 16:54:47,0.04,23.49,9.18,22,healthy
2025-05-10 16:54:53,0.02,23.41,9.14,19,healthy
2025-05-10 16:55:00,0.03,23.49,9.18,15,healthy
2025-05-10 17:55:16,0.04,23.41,9.14,13,healthy
2025-05-10 17:55:22,0.03,25.43,9.93,21,healthy
2025-05-10 17:55:27,50.50,255.8,99.92,7,healthy
2025-05-10 17:55:33,3.89,23.51,9.18,18,healthy
2025-05-10 17:55:39,40.92,197,76.95,155,healthy
2025-05-10 17:55:45,0.21,23.4,9.14,18,healthy
2025-05-10 17:55:50,0.02,23.49,9.18,18,healthy
2025-05-10 17:55:56,0.03,23.48,9.17,18,healthy
2025-05-10 17:56:02,0.03,23.49,9.18,25,healthy
2025-05-10 17:56:08,50.48,256,100.00,6,unhealthy
2025-05-10 17:56:13,4.91,43.88,17.14,16,healthy
2025-05-10 17:56:19,5.34,44.18,17.26,17,healthy
2025-05-10 17:56:25,0.00,18.37,7.18,18,healthy
2025-05-10 17:56:30,5.73,23.74,9.27,20,healthy
2025-05-10 17:56:36,22.88,99.96,39.05,32,healthy
2025-05-10 17:56:42,0.03,23.4,9.14,17,healthy
2025-05-10 17:56:48,0.07,23.49,9.18,15,healthy
2025-05-10 17:56:53,0.00,23.46,9.16,20,healthy
2025-05-10 17:56:59,6.31,23.49,9.18,14,healthy
2025-05-10 17:57:05,50.28,255.9,99.96,221,healthy
2025-05-10 17:57:11,0.02,23.4,9.14,16,healthy
2025-05-10 17:57:17,50.26,239.4,93.52,49,healthy
2025-05-10 17:57:22,0.02,23.39,9.14,16,healthy
2025-05-10 17:57:28,12.33,65.37,25.54,108,healthy
2025-05-10 17:57:34,0.02,23.4,9.14,17,healthy
2025-05-10 17:57:39,0.02,23.48,9.17,16,healthy
2025-05-10 17:57:46,0.02,23.39,9.14,17,healthy
2025-05-10 17:57:51,0.03,23.48,9.17,18,healthy
2025-05-10 17:57:57,0.02,23.4,9.14,17,healthy
2025-05-10 17:58:03,0.06,23.49,9.18,22,healthy
2025-05-10 17:58:08,0.00,28.62,11.18,9,healthy
2025-05-10 17:58:15,0.02,23.41,9.14,17,healthy
2025-05-10 17:58:20,0.02,23.49,9.18,21,healthy
2025-05-10 17:58:25,0.00,11,100.00,17,healthy
2025-05-10 17:58:31,6.43,23.49,9.18,21,healthy
2025-05-10 17:58:38,50.51,256,100.00,1090,healthy
2025-05-10 17:58:43,0.01,23.3,9.10,19,healthy
2025-05-10 17:58:49,0.03,23.48,9.17,17,healthy
2025-05-10 17:58:55,28.41,244.7,95.59,586,healthy
2025-05-10 17:59:01,0.02,23.4,9.14,18,healthy
2025-05-10 17:59:07,25.37,141.6,55.31,32,healthy
2025-05-10 17:59:12,0.01,23.31,9.11,14,healthy
2025-05-10 17:59:18,0.02,23.49,9.18,9,healthy
2025-05-10 17:59:23,0.00,21.32,8.33,19,healthy
2025-05-10 17:59:29,5.72,23.74,9.27,7,healthy
2025-05-10 17:59:35,50.29,189.3,73.95,104,healthy
2025-05-10 17:59:41,0.03,23.41,9.14,18,healthy
2025-05-10 18:01:38,16.92,84.42,32.98,88,healthy
2025-05-10 18:01:44,0.02,23.54,9.20,18,healthy
2025-05-10 18:01:50,0.03,23.6,9.22,15,healthy
2025-05-10 18:01:55,0.00,28.41,11.10,113,healthy
2025-05-10 18:02:01,0.04,23.4,9.14,18,healthy
2025-05-10 18:02:08,0.04,23.5,9.18,78,healthy
2025-05-10 18:02:13,0.05,23.4,9.14,19,healthy
2025-05-10 18:02:19,0.04,23.49,9.18,23,healthy
2025-05-10 18:02:26,0.02,23.31,9.11,19,healthy
2025-05-10 18:02:31,0.03,23.49,9.18,16,healthy
2025-05-10 18:02:37,0.00,23.52,9.19,16,healthy
2025-05-10 18:02:43,0.01,23.49,9.18,17,healthy
2025-05-10 18:02:49,50.82,254.9,99.57,17,unhealthy
2025-05-10 18:02:54,0.02,23.4,9.14,25,healthy
2025-05-10 18:03:00,34.40,180.3,70.43,244,healthy
2025-05-10 18:03:06,0.03,23.39,9.14,15,healthy
2025-05-10 18:03:12,18.40,124.8,48.75,317,healthy
2025-05-10 18:03:18,49.92,255.8,99.92,184,unhealthy
2025-05-10 18:03:24,0.04,23.41,9.14,28,healthy
2025-05-10 18:03:30,21.85,79.51,31.06,31,healthy
2025-05-10 18:03:34,0.00,11,100.00,16,healthy
2025-05-10 18:03:39,5.60,23.49,9.18,17,healthy
2025-05-10 18:03:45,50.22,255.9,99.96,42,healthy
2025-05-10 18:03:51,0.02,23.41,9.14,16,healthy
2025-05-10 18:03:56,0.03,23.5,9.18,16,healthy
2025-05-10 18:04:02,0.00,23.3,9.10,17,healthy
2025-05-10 18:04:08,0.02,23.48,9.17,17,healthy
2025-05-10 18:04:14,0.00,3.156,1.23,14,healthy
2025-05-10 18:04:19,6.00,23.75,9.28,16,healthy
2025-05-10 18:04:25,50.11,255.8,99.92,22,healthy
2025-05-10 18:04:31,0.03,23.31,9.11,18,healthy
2025-05-10 18:04:37,0.02,23.49,9.18,17,healthy
2025-05-10 18:04:42,11.68,23.44,9.16,16,healthy
2025-05-10 18:04:48,0.02,33.64,13.14,14,healthy
2025-05-10 18:04:54,0.02,33.67,13.15,12,healthy
2025-05-10 18:04:59,26.61,154.8,60.47,117,healthy
2025-05-10 18:05:05,0.02,23.4,9.14,18,healthy
2025-05-10 18:05:11,0.02,23.5,9.18,17,healthy
2025-05-10 18:05:17,50.35,255.8,99.92,198,healthy
2025-05-10 18:05:22,0.03,23.41,9.14,18,healthy
2025-05-10 18:05:28,49.77,181.2,70.78,46,healthy
2025-05-10 18:05:34,0.02,23.4,9.14,24,healthy
2025-05-10 18:05:40,0.02,23.48,9.17,16,healthy
2025-05-10 18:05:45,0.04,23.41,9.14,18,healthy
2025-05-10 18:05:51,0.03,23.49,9.18,19,healthy
2025-05-10 18:05:57,0.02,23.41,9.14,15,healthy
2025-05-10 18:06:03,0.03,23.49,9.18,16,healthy
2025-05-10 18:06:07,0.00,11,100.00,17,healthy
2025-05-10 18:06:13,4.40,23.73,9.27,18,healthy
2025-05-10 18:06:19,50.80,255.9,99.96,130,healthy
2025-05-10 18:06:24,0.04,23.4,9.14,11,healthy
2025-05-10 18:06:30,29.55,180.6,70.55,167,healthy
2025-05-10 18:06:37,0.03,23.39,9.14,16,healthy
2025-05-10 18:06:42,5.39,44.67,17.45,107,healthy
2025-05-10 18:06:48,2.49,33.89,13.24,15,healthy
2025-05-10 18:06:54,0.03,33.67,13.15,16,healthy
2025-05-10 18:07:00,12.41,54.31,21.21,18,healthy
2025-05-10 18:07:05,50.05,249.7,97.54,3,unhealthy
2025-05-10 18:07:11,5.14,23.48,9.17,19,healthy
2025-05-10 18:07:17,42.18,245.1,95.74,57,healthy
2025-05-10 18:07:22,0.05,23.4,9.14,19,healthy
2025-05-10 18:07:28,9.35,24.06,9.40,10,healthy
2025-05-10 18:07:34,0.06,23.41,9.14,26,healthy
2025-05-10 18:07:40,0.08,23.5,9.18,18,healthy
2025-05-10 18:07:45,11.11,23.3,9.10,18,healthy
2025-05-10 18:07:51,0.02,23.48,9.17,16,healthy
2025-05-10 18:07:57,50.38,252,98.44,14,healthy
2025-05-10 18:08:02,5.21,23.98,9.37,22,healthy
2025-05-10 18:08:08,49.51,256,100.00,4,unhealthy
2025-05-10 18:08:14,0.79,38.53,15.05,27,healthy
2025-05-10 18:08:19,5.84,38.61,15.08,17,healthy
2025-05-10 18:08:25,50.10,256,100.00,150,unhealthy
2025-05-10 18:08:31,0.04,23.41,9.14,19,healthy
2025-05-10 18:08:37,10.75,44.91,17.54,59,healthy
2025-05-10 18:08:42,0.02,23.4,9.14,18,healthy
2025-05-10 18:08:48,0.03,23.48,9.17,16,healthy
2025-05-10 18:08:54,0.02,23.41,9.14,15,healthy
2025-05-10 18:09:00,0.04,25.43,9.93,16,healthy
2025-05-10 18:09:06,50.47,250.8,97.97,115,healthy
2025-05-10 18:09:12,0.03,23.41,9.14,10,healthy
2025-05-10 18:09:18,49.47,252,98.44,89,healthy
2025-05-10 18:09:24,0.06,43.65,17.05,27,healthy
2025-05-10 18:09:29,0.03,43.71,17.07,16,healthy
2025-05-10 18:09:35,0.00,2.98,1.16,17,healthy
2025-05-10 18:09:41,5.95,23.98,9.37,18,healthy
2025-05-10 18:09:47,50.40,255.8,99.92,24,healthy
2025-05-10 18:09:53,50.29,255.8,99.92,1019,healthy
2025-05-10 18:09:59,6.16,23.48,9.17,16,healthy
2025-05-10 18:10:05,50.52,255.8,99.92,7,healthy
2025-05-10 18:10:10,6.85,23.51,9.18,17,healthy
2025-05-10 18:10:17,51.20,255.9,99.96,6,unhealthy
2025-05-10 18:10:22,0.04,23.39,9.14,17,healthy
2025-05-10 18:10:28,8.13,44.05,17.21,64,healthy
2025-05-10 18:10:34,0.03,23.4,9.14,16,healthy
2025-05-10 18:10:40,0.03,23.5,9.18,15,healthy
2025-05-10 18:10:45,50.18,235.4,91.95,56,healthy
